,ep_id,scout_text,type
3398,9491,"An offensive center with a good eye for the game. A very good skater. Has a good attitude, defensive game and stickhandling. Shoots well. Needs to gain strength, play with higher intensity and develop his game without the puck. (Matias Strozyk)Father-in-law: Doug GilmourCousin: Ian Edmondson",Yes
3400,45571,A center with good offensive skills. A very good playmaker with good skating. Accelerates well and has an impressive shot. Works hard and has good hands. (Matias Strozyk),Yes
3401,11125,"A skilled winger, Aubin has a good shot and passing ability. Knows where to go in order to score goals. Skates very well and has leadership qualities.Isn't very big, though, and isn't great in board battles.- Erik K. Piri, EP (2010)",Yes
3405,201556,"Father:  Damon Kustra
Brother: Matt Kustra",No
3406,205489,"DiTomaso is a stay a home defenceman with average size. He is a smart player with 3 years of OHL experience. Valuable bottom pairing defenceman at this level. He is not very physical. (Tyler Parchem, EP 2016)",Yes
3407,23199,Team Staff profile of Dave Nolin also available,No
3413,37150,Cousin: Ian Young,No
3414,201664,Cousin: Mitchell Stephens,No
3417,201236,"2010-11 team: Stars
Uncle: Dave Schioler
Cousin: Dane Schioler",No
3418,157407,"A hulking power winger that plays a skill game, Bondra is a shifty skater blessed with predatory offensive instincts and a nose for the net. Good puck-handling ability; protects the puck exceptionally well with his size. Could be more physical, but that will come. All-in-all, a talented scorer that can be very difficult for the opposition to contain. (Curtis Joe, EP 2014)",Yes
3419,37403,"Brothers: David Henley, Samuel Henley",No
3422,452004,"Father: Wayne Primeau
Sister: Madison Primeau
Uncle: Keith Primeau
Cousins: Corey Primeau, Chayse Primeau & Cayden Primeau",No
3428,201274,"A highly skilled and all-round player. Patrick has few, if any, holes in his game and stands out in many aspects. His hockey sense and competitiveness is top notch. At the same time he has above average skating, shooting and puck skills.  Furthermore, Patrick is a reliable two-way player and will do an excellent job on the penalty kill. Very capable scorer and passer. (EP 2017)

Father: Steve Patrick 
Uncle: James Patrick, Rich Chernomaz
Sister: Madison Patrick",Yes
3432,36736,"Dumont is a tough forward who plays with a lot of energy and grit. Won't back down from bigger opponents and can be an agitator. However, he is of diminutive stature, which can be a problem at times. Always competes hard, though.- Erik K. Piri, EP (2014)",Yes
3434,199722,2010-11 team: Hawks,No
3440,18097,Father: Pavel Palat,No
3441,110850,"Murphy is an offensive defenceman who skates well, makes good passes and can quarterback the powerplay. He also likes to play physical although he is undersized. Top 10 in OHL defenceman scoring this season. (Tyler Parchem, EP 2015)",Yes
3444,183442,"A generational talent, Connor McDavid is a catalyst for positive plays in all three zones. Thinks the game analytically and recognizes scoring chances before they have even happened. Blessed with good size and an elite-level skillset, which includes nimble skating and deft puckhandling. All-in-all, a dominant center with all of the will, power, and intangibles to become a successful hockey luminary.
- Curtis Joe, EP 2014
Brother: Cameron McDavid",Yes
3445,69391,"Father: John J. Carrick
Brothers: Jake Carrick, Josh Carrick & Sam Carrick
Cousins: Bobby Hughes & Hayley Hughes",No
3446,37472,Father : Bernard Carrier | Brother : Alexandre Carrier,No
3448,56587,Brother: Riley Morden,No
3449,37424,"GagnÃ© is a defenseman with good passing skills and two-way ability. Diminutive, but doesn't shy away from physical contact. Owns a good shot and can play on the powerplay.- Erik K. Piri, EP (2012)",Yes
3452,62486,Team Staff profile of Josh Graves also available,No
3457,289453,Brother: Linus Sandin,No
3459,391751,Brother: Vitali Sapego,No
3465,11251,"P.K. Subban is a spectacular puck-moving defenseman who can take big influence on a game with his end-to-end rushes. Is a very good skater and is able to shake of fore-checking forwards with quick stops or sharp turns and decent puck-control. Possesses a hard and accurate slap-shot, which is especially on the power play a weapon. Battles hard on every shift, but discipline is an issue as he takes stupid and often badly-timed penalties.(by Rafik Soliman â€“ April 2013)

Brothers: Jordan Subban, Malcolm Subban

Cousins: Marselis Subban & Raegan Subban",Yes
3468,151955,"A winger with promising size, Lammikko works hard at both ends of the ice and is strong in small spaces and corners. He is a decent skater with good stickhandling and playmaking ability. Lammikko has been an eager shooter in the juniors, but seems more apt as a set-up man with his vision and IQ. He is also characterized by good decision-making and sound defensive play. (Matias Strozyk, 2012)",Yes
3469,150872,Brother: Keaton Middleton,No
3470,11607,A strong two-way forward. Has a ton of character. Plays a physical game and has a decent shot. (EP 2008),Yes
3472,65575,"Brothers: Evan Neibrandt, Adam Neibrandt",No
3475,22857,"A defensive defenseman who likes to play a physical game. Won't take any unnecessary risks with the puck. Will block a lot of shots.- Erik K. Piri, EP",Yes
3481,257718,Brother: Cameron Hughes & Liam Hughes,No
3483,45278,Full name: Steven Verelli,No
3484,284911,Brother: Mathieu Joseph,No
3486,19275,Team Staff profile of Anthony Perdicaro also available,No
3489,62211,Brother: Nicholas Merkley,No
3495,213751,Brother: Benjamin Hamelin,No
3503,118657,"An agile forward, Drouin is very creative and a good skater. He is an extremely offensive player with fantastic hands and excellent on-ice-vision. Drouin has a good shot but is best used as a playmaker and is very dangerous on the powerplay. Drouin is not a large player or an explosive skater, but he is very agile and able to play his way out of tight spots thanks to his hockey sense. (Matias Strozyk, 2012)",Yes
3504,18032,"Tomanek is an offensive winger with great speed, acceleration, and agility. Is a good shooter and forechecker. He is very important player for his team in powerplay. In recent years he is better in read a game and passing. Could improve his defensive game. Isn't much of a physical player.- Ulf Andersson, Vladimir Kubik EP",Yes
3505,11388,"Arniel plays a good two-way game and helps out in all areas of the ice. Skates very well and has very good hockey sense.
Lacks in size and strength, but doesn't shy away from physical contact.

Uncle: Scott Arniel
Cousin: Brenden Arniel",Yes
3508,20380,"A winger with very good size. Persson likes to go to the hard areas and force scoring plays. Isn't a great skater, but has a high compete level.

Brothers: Joel Persson, Johan Persson, Jonathan Persson, Johnas Persson",Yes
3510,350236,Father: Jan Ludvig,No
3511,11539,"Henry is a big defensive defenseman who's a hard worker. Has a strong physical game. Has improved his offensive game, but could still improve there. Doesn't skate very well.- Ulf Andersson, EP (2013)

Brother: Darian Henry",Yes
3514,59952,Full name: Mitchell Deacon,No
3518,146538,"Full name: Mitchell Graham

Graham is small but plays hard. Played for 4 different teams in 2012/2013. After bouncing around the GOJHL he earned a late season audition in Windsor where he impressed. He looks to battle for a spot on the bottom 6 out of camp.",Yes
3523,76435,"Cousins: Brock McGinn, Jamie McGinn, Tye McGinn",No
3524,44605,Full name: Matthew Stoddard,No
3525,267844,Brother: Rylee McKinnon,No
3526,275589,Father: Jason Boudrias,No
3532,10435,"A two-way center, Cliche is very strong defensively. He plays with plenty of energy and can also be utilized on the wing.- Erik K. Piri, EP (2010)",Yes
3534,156923,Brother: Len Fabbri,No
3535,120642,"Father : Pierre Turgeon
Uncle : Sylvain Turgeon
Sisters : Elizabeth Turgeon | ValÃ©rie Turgeon",No
3537,9195,"Blunden is a big winger who plays a gritty game. Offensively, he has a hard shot with a good release. Could improve his defensive game.- Erik K. Piri, EP (2010)

Brothers: Sean Blunden, Stephen Blunden",Yes
3544,11564,"Dupuis is mainly a checking center who is very solid defensively. A skilled faceoff man, he is valuable on the penalty kill. Dupuis can also contibute offensively with decent playmaking ability and hockey sense.- Erik K. Piri, EP (2011)",Yes
3546,17096,Team Staff profile of Kyle Paige also available,No
3553,83510,Brother: Cole Penner,No
3555,213477,"Father: Philippe Boucher

Attended Colorado Avalanche Development Camp 2018",No
3556,194215,"Brothers: Matthew Welsh, Zach Welsh",No
3561,16035,"A good skater that accelerates well. Rajala has good puck skills and is a creative player. Furthermore, he has a scorer's touch and puts up points on regular basis. On the downside, he has a smallish frame and could physically stronger. (EP 2009)",Yes
3562,23315,Brother: Paul Piluso,No
3564,128893,"Brothers: RaphaÃ«l Joly & D'Artagnan Joly

Uncle : Yvan Joly",No
3567,11850,"KytnÃ¡r is a smart center with sound two-way ability. Isn't overly big, but is effective in physical battles. Good around the net. Could play a more aggressive game.- Ulf Andersson, EP",Yes
3569,10610,"A natural scorer with great hands and vision, Zaborsky is a pure offensive forward. His defensive game could use some improvement. Doesn't play a physical or tough game.

Uncle: Juraj Durco
Brother: Matus Zaborsky",Yes
3570,23466,Brother : Francis Charland,No
3572,15585,Brother: Ryan MacLean,No
3573,233512,"Brother: Jonathan Kopacka

Kopacka is a hard working forward with decent size. He contributes offensively and battles hard down low. He went through improvements all season long and established himself as a good top 6 forward in the OHL and a bonafide NHL draft prospect. Next year should be a coming out party for him in the Soo. He will need continue to improve his physicality, which is something that will be a cornerstone of his game. (Tyler Parchem, EP 2016)",Yes
3575,204710,"Goetz is a hard nosed, 4th line type player. He loves to crash and bang, but will contribute offensively on occasion. He is in his 3rd OHL season and was a valuable deadline pick up by Barrie as he provides a physical element with good experience (Tyler Parchem, EP 2016)",Yes
3581,25753,"Brothers: Kevin Deagle, Brad Deagle
Uncle: Brian Curran",No
3582,66737,"Brother: John Madden
Nephew: Tyler Madden",No
3583,62204,Brother: Riley Point and Kade Point,No
3584,279166,Brother: Nicolas Patry,No
3587,201702,Uncle: Kelly Davis,No
3593,240821,"Michael McLeod is a highly skilled power center who relies on nobody but himself to get the job done. His size and skating make him difficult to contain, and his competitiveness gives him an edge against other teams' best. His deft puckhandling skills and control over his speed are the defining aspects of his offensive abilities. All-in-all, a top talent who is both dynamic and hard to play against. (Curtis Joe, EP 2015)

Brothers: Matt McLeod & Ryan McLeod",Yes
3597,315967,"Father: Kerry Toporowski
Brother: Jake Toporowski
Sister: Alexis Toporowski
Uncles: Brad Toporowski & Shayne Toporowski",No
3598,20906,Father: Mike O'Connor,No
3601,19146,Team Staff profile of Barry Sanderson also available,No
3605,15739,Team Staff profile of Yashar Farmanara also available,No
3606,189578,"Father: Glen Wesley
Uncle: Blake Wesley",No
3608,62115,Brothers: Simon Philp & Noah Philp,No
3609,93577,"A power forward with a powerful stride, Khaira is tough to separate from the puck. He has the ability to 
find teammates and turn any play in to a scoring chance. Khaira plays with a mental and physical 
maturity that is beyond his years.

Brother: Sahvan Khaira",Yes
3610,204918,"Vande Sompel is an undersized, but dynamic offensive defenceman. He skates well, generates lots of offense and is very smart in both zones. He could improve defensively, but has the potential to be a Dan Boyle type offensive defenceman has he continues to get stronger and grow more confident. One of the best offensive defenceman available in this years draft. (Tyler Parchem, EP 2015)
Sister: Ella Vande Sompel
Cousin: Jacob Bryson",Yes
3612,231738,Father: Ravil Fazleyev,No
3615,43616,Brother: Louis-Philippe Monette,No
3619,18796,Brother: Ryuichi Kawai,No
3630,37616,"Defenceman turned forward became Barrie's enforcer this year. Has good size, but needs to add more offensive abillity if he wants to take his ""skills"" to the next level.",Yes
3634,201488,"2013-14 team: Carolina Jr. Hurricanes 14U
Father: John MacLean
Brother: John Carter MacLean",No
3635,122937,Brother: Givani Smith,No
3640,34749,Very good blueliner with solid shoot and good passing. Has feel for game and he is valid player for powerplay with nice shot. This mobile defensman not practice physical game often. - Vladimir Kubik EP,Yes
3641,60605,"Great talent who had health issues, in past. However he works very hard now and he can get his goals in future. Koys is a two-way forward who is very good defensively. Speedy winger with brilliant shot and good stickhandling. He has smaller figure, but clever hands compensates for his weakness. - Vladimir Kubik EP",Yes
3644,335689,Father: BenoÃ®t Groulx,No
3646,162177,"A competitive winger who skates with good balance, using his large frame to establish his presence through physical play, and shields the puck exceptionally well. His offensive prowess is exhibited through his use of the neutral zone to pick up speed and momentum, his fine puckhandling ability, and his dominance on the forecheck. Filip Ahl plays to his strengths, using his intangibles and knowledge of the game to his advantage; in doing so, he can be a very difficult opponent to play against, and this is what will make him successful in the future. (Curtis Joe, EP 2014)

Father: Boo Ahl",Yes
3649,23666,Team Staff profile of Ken Peroff also available,No
3651,299297,Brother: Sam Garagan,No
3652,14496,Brothers: Thomas Bruton and Patrick Bruton,No
3653,11670,"Baldwin is a huge body and hard to play against in front of the net and in the corners. He has a solid outlet pass, but is mainly a defensive defenseman who relies on his size and reach to dominate opposing forwards.- Erik K. Piri, EP

Brother : Corbin Baldwin",Yes
3654,37609,"One of Barrie's valuable offensive weapons last season, Behenna helped lead the team back from a dismal 2010-2011 season. A very small player, Behenna gets by on hard work and offensive ability, he is a leader and a true team player and was overshdowed by some of Barrie's big name talent this season. Behenna looks to showcase his skill at the University of Waterloo (CIS) in the 2012-2013 season. (Tyler Parchem 2012)",Yes
3655,56641,Great uncle: Albert Leduc,No
3660,18598,"A two-way defenseman with excellent size and reach. Comrie plays a tough game in his own zone and doesn't shy away from physical battles. Likes to join the attack.- Erik K. Piri, EP (2011)",Yes
3661,34307,"Father: Sandro Bertaggia
Uncle: Hans-Ruedi Amsler",No
3662,12166,Also known/listed as J.C. Sawyer,No
3664,120201,"Father: Marc Chartier
Uncle: Dave Chartier",No
3671,234764,"Brother: Peter HrehorÄÃ¡k

Father: Peter HrehorÄÃ¡k",No
3674,11683,"Almond is a center who plays a well-rounded game. He has the ability to be physical, and go hard to the net and battle along the boards. Doesn't have great hands or speed.",Yes
3675,11721,"A fast-skating winger, D'Agostini has a good shot with a quick release. Excels on the powerplay. Plays with the mentality of a goal scorer. Could improve on the defensive side.- Erik K. Piri, EP (2011)",Yes
3676,204928,"Triplet brothers: Joe Manchurek, Robbie Manchurek",No
3682,45972,"Ebert is a defenseman with good hockey sense and a big shot. An excellent skater, he is speedy and agile, and can rush the puck up the ice.- Erik K. Piri, EP (2013)",Yes
3685,45584,"A two-way defenseman that stands out offensively. Very good hockey sense and has overall impressive offensive abilities. Above average in areas such as puck handling, skating, passing and shooting. Could play a better physical game. (EP 2012)
Brother: Cole Ceci",Yes
3691,11597,"Blum is a skilled defenseman with a good passing game. He's a great skater and can man the powerplay point. Has good hockey sense, but isn't very physical.  Could add more bulk.- Erik K. Piri, EP (2013)",Yes
3692,120120,Brother: JC Lipon,No
3693,98665,Brother: Christopher Duclair,No
3694,14742,Team Staff profile of Andrew Bailey also available,No
3695,424496,A smart center with impressive hockey sense. Reads the game very well and plays well in his own end too. Puckhandling is good and he has a decent nose for the net. Some consistency issues. (EP 2019),Yes
3700,247915,Brother: Keanu Yamamoto,No
3707,45397,Team Staff profile of Shane Kinsella also available,No
3709,201455,"Brothers: Michael Robertson, Nicholas Robertson",No
3711,267791,"Finoro is a small player who made the jump to the OHL from Jr B this season. He plays 4th line minutes on a deep Barrie team. He has good speed but lacks size. Never lacks effort. (Tyler Parchem, EP 2016)",Yes
3712,56601,"Brothers: Lars Meilleur & Mats Meilleur
Sister: Meike Meilleur",No
3713,116970,"Father: Carlton Bailey (NFL player, external link)",No
3714,9494,"Cabana isn't a huge body, but he plays with a lot of grit and doesn't fear the tough parts of the ice. He is speedy which makes him a fierce forechecker. Goes to the net hard to look for rebounds and deflections. His high work rate also makes him a good penalty killer.- Erik K. Piri, EP",Yes
3715,39963,Brother: Ryan DePape,No
3718,269038,Brother: Stefano Pezzetta,No
3719,37180,"Father: Dave Morrow
Uncle: Darrel Morrow
Brother: Josh Morrow",No
3720,37455,"Kavanagh is an offensive defenseman. Had good puck-moving ability and a big shot. His main flaws are his defensive game and his lack of size.- Ulf Andersson, EP (2013)",Yes
3721,45635,"Went unsigned last summer after originally being New York Islander property. Theoret has evolved from a grinder and agitator to an offensive weapon in the OHL. Has a good nose for the net, is strong and has good hockey sense. Has the raw offensive skill to play some form of pro hockey next season, but will need to re-acquire some grit to move up the ranks. (Tyler Parchem, EP, 2014)",Yes
3729,255325,Brother: Justin Desjardins,No
3730,9289,Father: Igor Stefanovich,No
3733,12536,Team Staff profile of Justin McCrae also available,No
3734,213435,"A dynamic scoring center with good hockey sense. Not very large in stature, but makes up for it in speed, skill, and cunning. A talented puck-handler with good hands: is equally efficient a passer as he is a goal scorer. All-in-all, an offensively minded center that can outplay the opposition in a number of different ways. Needs to work on discipline and getting stronger. (Curtis Joe, EP 2014)

Brother: Francis Beauvillier",Yes
3740,201704,"A dangerous two-way center that thinks the game at a high level, never making the same mistake twice. He is analytical and patient in the development of his strengths. He transitions up-ice quickly and is able to create and dictate offensive chances on the rush. He attacks hard and fast and consistently displays excellent puck control. His decision making is very good, indicative of his high level of hockey sense. He plays a complete game and elevates his play as energy levels rise. At the next level, he will need to be even faster and more physically assertive to make his presence felt. All-in-all, an intense, quick-thinking competitor who can elicit a crowd's excitement when he's on the ice. (Curtis Joe, EP 2017)",Yes
3741,19367,"Player who owns perfect offensive instinct and nose for net. He have great potential, he is great shooter and use physical game very well, but he had a problem with injury, in past and so he works very hard now. - Vladimir Kubik EP",Yes
3743,85308,Brother: Philippe Praplan,No
3749,37064,Father: Robert Lessard,No
3753,234873,Brother: Kiefer Sherwood,No
3755,277057,Brother: Luka Nyman,No
3761,45284,Team Staff profile of Yannick DubÃ© also available,No
3763,23621,Team Staff profile of Justin Soryal also available,No
3768,309267,"Uncle: Jeff Walker
Cousin: Jeff Beukeboom",No
3772,19048,"A puck-moving defenseman from the back end. Has solid defensive positioning. Plays a calm, collected style of defense. (EP 2008)",Yes
3773,37258,Team Staff profile of Mason Wilgosh also available,No
3776,258733,Brothers: Ranon Joseph & Talor Joseph,No
3777,45564,"Listed as Shawn Myers, on GOJHL stats",No
3788,11476,"A very intelligent player who is good in the faceoff circle and can play wing as well. Latendresse is a respected team leader even if when he isn't wearing a ""C"" or an ""A"".
He's also good on the powerplay and penalty kill.

Brother : Guillaume Latendresse",Yes
3792,23159,Brothers: Jonathan Bubnick and Mike Bubnick,No
3794,23119,Team Staff profile of Guillaume Goulet also available,No
3795,267655,Father: Ted Miskolczi,No
3805,234483,"Prototypical power forward: skates well, goes hard to the net, chips in down low, and causes havoc in front of the net. Aggressive on the forecheck. Uses his large frame to his advantage; able to bully his way around the ice. (Curtis Joe, EP 2014)",Yes
3806,64579,"Father: Trent Pankewicz
Second cousin once removed:: Greg Pankewicz",No
3813,171021,Brother: Eric Ming,No
3814,15127,"Father: Len Barrie
Grandfather: Len Barrie, Sr.",No
3827,244978,"Lemcke is an effective two-way defenseman who plays smart and makes a good first pass. He is also capable of playing solid physical hockey and improved throughout the season. He is very poised for a young defenseman and could be a good selection in the later rounds of the draft as he has the potential to be a solid NHL prospect. (Tyler Parchem, EP 2015)",Yes
3829,37500,Father: Pierre Aubry,No
3830,119468,Sister: Ainsley MacIntyre,No
3831,84255,Also wore #37 for Spruce Grove Saints in 2012-13.,No
3834,45405,"A hard working player, found another chance at OHL hockey when Barrie claimed him off waivers.",Yes
3838,23811,Cousin: Mike Zigomanis,No
3841,11678,"BohunickÃ½ is a huge defenseman who plays a very physical game. Skates well for his size. A stay-at-home guy, he also has decent offensive skill.- Ulf Andersson, EP",Yes
3845,31288,"Hamilton is a winger with good size and two-way smarts. Plays a well-rounded game with grit and tenacity. Goes to the tough areas of the ice to create his offense. Isn't a punishing hitter, but uses his body well.- Erik K. Piri, EP (2014)

Father: Bruce Hamilton",Yes
3849,37534,Full name: Alexander Beaton,No
3853,37114,Brother: Kyle Beach,No
3857,59358,Team Staff profile of Reid Gow also available,No
3864,131304,"A slippery offensive center with tons of skill and offensive prowess. When he is confident with the puck, he can pull off moves that open up a lot of time and space for himself and teammates. Can create a lot of dangerous chances through utilizing his smooth skating and knowledge of the offensive end. Continues to get better in his own end, defensively and physically. All-in-all, a smart, hard-working center who continues to improve in all areas, game by game, and is not far off from becoming a complete, well-rounded hockey player who can dominate offensively. (Curtis Joe, EP 2014)",Yes
3865,335704,Brother : Antoine CrÃªte-Belzile,No
3871,30440,Brother: Lucas Bloodoff,No
3872,86408,Team Staff profile of Chad Scharff also available,No
3874,31264,"A hard-working winger who protects the puck well. A strong skater with an excellent shot. Moves well and is a good finisher. Plays hard and with a lot of strength. Reads the game well. (Matias Strozyk)

Brother: George Saad",Yes
3875,30443,"Reinhart is a speedy center with fine two-way instincts and all-around ability. He's also a good passer with solid vision and hockey sense. Always works hard on the ice and is a quality team guy. Could use some more bulk to improve his physical game.- Erik K. Piri, EP (2014)
Brothers: Griffin Reinhart, Sam Reinhart
Father: Paul Reinhart",Yes
3877,33892,Team Staff profile of Nathan Chiarlitti also available,No
3880,205556,Brother: Taylor Raddysh,No
3881,117018,Brother: Josh Dickinson,No
3886,204911,"Also wore #8 for London Jr. Knights Gold Min Mdgt in 2011-12.

White is a smart defenseman who skates well and makes good passes. He was buried on a deep Soo team this season so his numbers are lower then they could have been on a weaker team. He is not overly physical on the backend but has a good stick and is often in the right position to break up the play. Could potentially break out next season and could be a smart pick in the later rounds. (Tyler Parchem, EP 2015)",Yes
3887,290171,"Poulin is a very all-round player. He plays a good two-way game and has very few weaknesses to his game. Furthermore, he competes hard, has leadership qualities and is a decent point producer. (EP 2019)

Father: Patrick Poulin  Brother: Nicolas Poulin",Yes
3890,9231,"Father: Petr Kalus

Brother: Marek Kalus",No
3891,118237,"Name also listed/spelled as Evan De Haan and Evan Dehaan

Brother: Calvin de Haan",No
3901,23670,Team Staff profile of Dominic DeSando also available,No
3903,245100,Uncle: Cory Bricknell,No
3905,32866,Full name: Robert McEwan,No
3907,131215,Brother: Jordan Steenbergen,No
3909,19171,"Della Rovere isn't a physically imposing guy, but he likes to play hard-nosed game and get under the skin of opponents. Sometimes crosses the line on some of his hits.
Is a solid defensive player.",Yes
3910,25760,"Brothers: Jordie Deagle, Kevin Deagle
Uncle: Brian Curran",No
3915,23798,"Brothers: Dustin St. Denis, Travis St. Denis",No
3922,23152,Brother: Dustin Sylvester,No
3923,51708,"Bourke is smart forward with good two-way instincts. A quick skater, he has the versatility to play both center and wing. Works hard and plays a gritty game, but is a bit on the small side.- Erik K. Piri, EP (2014)

Brother: Brad Bourke
Sister: Karla Bourke",Yes
3926,9340,Brothers: Brett Shutron & Derek Shutron,No
3929,13941,Brother: Jordan DePape,No
3931,112809,"Small Forward who has speed and flash. Prolific scorer in both Minor Midget and Jr B, he was buried on a deep London team this year and will be in tough to make the team next season. Would benefit with more playing time. (Tyler Parchem, EP, 2013)",Yes
3936,12172,Brother: Trevor Layton,No
3940,69017,"Brothers: Anton Blomqvist, Albin Blomqvist",No
3941,48665,"Father: Rich Sutter
Uncles: Ron Sutter, Brent Sutter, Duane Sutter, Darryl Sutter, Brian Sutter, Gary Sutter
Cousins: Merrick Sutter, Brett Sutter, Brody Sutter, Shaun Sutter, Brandon Sutter, Riley Sutter

Sutter is a center who likes to use his size to play a physical game. A strong defensive player and penalty killer. Displays some offensive ability at times, but is more known for hitting and hard work. Could improve in the skating department.",Yes
3943,31574,Father: Steve Smith,No
3946,30686,"Christian Thomas is an explosive skater with terrific foot-speed. Has a smallish stature and is somewhat a soft player who rarely makes contact with other players. Thomas uses his quickness and skating gifts to put pressure on opponents on the forecheck, while using an active stick. Owns decent puck-skills and is a well-used recipient for long outlet passes, when he tries to burn defensemen with his blazing speed. (by Rafik Soliman, February 2015)

Father: Steve Thomas",Yes
3948,240064,Brother: Casper NÃ¤ssÃ©n,No
3950,41183,"Father: Paul Reinhart
Brothers: Max Reinhart, Sam ReinhartA large defenseman with solid skills at both ends of the ice. A strong player with room for improvement in his physical game. Defensively sound. Gives a good first pass and skates well considering his large frame. Not a flashy player but provides good all-round talent and is capable of handling big minutes. (Matias Strozyk, 2011)",Yes
3951,117333,Uncle: Rick Gazzola,No
3954,23355,Regan is a big defenseman with a solid all-around game. Can be a good powerplay option and play a physical game.- Elite Prospects,Yes
3959,18595,"Wright is a forward with good size and hockey smarts. Plays with plenty of energy and grit, and a defensive conscience. Can play any position up front. Also has decent offensive ability, but lacks flair.- Erik K. Piri, EP (2013)",Yes
3961,277804,"A diligent offensive forward that is productive at both ends of the ice. Predatory offensive instincts compliment his competitiveness and motivation to stay ahead of the play. Sees the ice very well and is creative with his abilities, willing to battle in front of the net and do the things that other players of his size would not. His defensive zone play is fascinating because he is always very proactive positionally; that being said, his style of defensive play is not very refined, and ill-suited to a more physical brand of hockey. All-in-all, a distinguished two-way competitor that will have the potential to develop into a crafty offensive producer as he gets stronger. (Curtis Joe, EP 2015)",Yes
3965,130786,"Pavel Zacha is an offensively dynamic center with the size, speed, and skill to make a significant impact on the game. He can play physical, but is at his best when using his high-end offensive abilities, such as his shot, stickhandling, and footspeed, to generate numbers in the opposition's end of the ice. All-in-all, Zacha is a lethal weapon that can be depended upon to create, and finish, dangerous scoring chances whenever he is on the ice. (Curtis Joe, EP 2015)",Yes
3966,8876,"A very skilled center, Schremp owns terrific vision and stickhandling ability. Excels on the powerplay, but isn't a great skater and lacks defensive acumen. (Erik K. Piri, EP 2011)
Brother: Tyler Schremp
Cousin: Chris Schremp",Yes
3972,21568,"Thomson, 34, died on April 21, 2019, in London, Ont.",No
3974,119263,Listed as a right handed D in 2011/12 SJHL stats.,No
3975,273613,"Father: Wendel Clark
Uncles : Kerry Clark, Donn Clark
Second cousins: Barry Melrose, Joey Kocur & Kory Kocur
Third cousin: Jackson Kocur",No
3977,12845,"Plastino is a skilled defenseman with a fairly well-rounded game. Excels on the powerplay with his mobility and passing skills.- Ulf Andersson, EP",No
3983,30433,Brother: Austin Yadlowski,No
3990,11825,Team Staff profile of Dave Pszenyczny also available,No
3991,45585,Brother: Everett Clark,No
3995,154962,"A gritty, hard-working forward with a large frame. An agile skater for his size and is starting to work explosiveness into his game. Smart with and without the puck, and exhibits strength at both ends of the ice. Not the most physical player, but that side of his game will come naturally as he develops more bullish instincts. Loves to battle and works hard to win puck possession on open ice, along the boards, and in the corners. All-in-all, a sizeable forward who has the raw tools it takes to become an effective producer as he elevates his game. (Curtis Joe, EP 2015)

Family Relations
Father: Artis Ä€bols",Yes
4001,234343,Father: Peter Marsh,No
4005,30897,"He can be utilized primarily as a center but also played on the left wing and defense. Also capable of being a puck moving, shoot from the point player on D. Has an exceptional NHL caliber shot that when utilized can be a scoring threat in all situations.",Yes
4007,19078,Missed most of 2012-13 season with a concussion.,No
4008,247945,"Kieffer Bellows is a skilled power forward who can dominate games. Possesses high end puckhandling ability as well as a crisp, accurate release on his shot. Proficient forechecker and loves to win puck battles, which stands out as a consistent part of his game. Strong skater who can bull through the opposition or go around them. Drives the net hard and is a decisive finisher. All-in-all, a competitor who punishes the opposition physically, as well as on the scoreboard. (Curtis Joe, EP 2016)

Father : Brian Bellows
Cousin : Spencer DeWolf",Yes
4009,2627,"Starkov is a highly skilled Russian talent, now a Danish citizen. Blessed with top notch technical skills and very good hockey sense. Defensive game might not be the best, but his offensive skills are impressive. Scores points on regular basis. Fan favourite because of his flashy style of play.Father: Oleg Starkov",Yes
4010,247053,Brother: Max Kryski,No
4011,62716,Team Staff profile of Rob De Fulviis also available,No
4013,264945,Brother: Ryan O'Reilly,No
4014,288377,"Father: Craig Streu
German/Canadian citizenship, but counted as Austrian under the federation's rules.",No
4017,97625,Name also listed/spelled Adam de Champlain and Adam De Champlain.,No
4019,108414,Brother: Kenton Helgesen,No
4021,13618,"Macias is a well-rounded defenseman. He has a good outlet pass as well as fine hands and nice puck control. Excels on the powerplay.- Ulf Andersson, EP",Yes
4025,232712,Brother: Quinton Howden,No
4029,18605,"Cousins: Daymond Langkow, Scott Langkow",No
4031,117019,"A hard-working forward that can play in a multitude of different roles; he can play as gritty as a prototypical power forward or as defensively as a two-way forward. Will do anything to help the team win, and is a formidable net-front presence. Possesses a good stick and good hands around the net. All-in-all, a blue-collar-type leader that wears his heart on his sleeve and can get the job done in any situation. (Curtis Joe, EP 2014)",Yes
4039,12462,"Spaling is a hard working, checking forward who can play any position up front. He is a skilled penalty killer and also has some scoring ability.


Brother: Nathan Spaling",Yes
4041,190938,Twin brother: Spencer Watson,No
4045,13596,Team Staff profile of Matt Lowry also available,No
4046,26412,"Cousin: Jennifer Kessy, volleyball player (external link)",No
4048,46857,Team Staff profile of Scott Skrudland also available,No
4059,57050,"Brothers: David Quenneville & John Quenneville
Second cousin: Joel Quenneville
Uncle (-in-law): Johnny Boychuk",No
4063,27393,Full name is apparently Zachary Stebner,No
4066,31274,"D'Amigo is a speedy winger whose motor's always running. Smallish in height, but a powerful skater. Owns decent two-way instincts and a hard shot.- Erik K. Piri, EP (2012)",Yes
4067,13838,Brother: Ed Snetsinger,No
